Permit Number,Permittee Name,Project Name,Mechanical Treatment Type (Suspended Growth/Attached Growth),Unit Process,Plant Optimized for Nutrient Reduction (Y/N),Year of Plant Optimization,Design Flow (MGD),Actual Flow From Permit Application (MGD) ,Average Facility Flow 2019 (MGD),Average Facility Flow 2020 (MGD),Average Facility Flow 2021 (MGD),Average Facility Flow 2022 (MGD),Average Facility Flow 2023 (MGD),Parameter,Nutrient Limit or Monitoring Requirement,Frequency,Sample Type,Monthly Average (lb/day),Daily Max (lb/day),Quarterly Average (lb/day),Monthly Average (mg/L),Daily Max (mg/L),Quarterly Average (mg/L),Rolling Average (lb/yr),Annual Average (lb/day),Annual Total (lb/yr),Total Annual Effluent Loading 2019 (lb/yr),Total Annual Effluent Conentration 2019 (mg/L) [CALCULATED],Total Annual Effluent Loading 2020 (lb/yr),"Total Annual Effluent Concentration  2020 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2021 (lb/yr),"Total Annual Effluent Concentration  2021 (mg/L)
[CALCULATED]",Total Annual Effluent Loaading 2022 (lb/yr),"Total Annual Effluent Concentration 2022 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2023 (lb/yr),Total Annual Effluent Concentration 2023 (mg/L) [CALCULATED]
TN0074586,Town of Pegram,Pegram STP,Attached Growth,Recirculating Media Filter,N,N/A,0.05,0.018,0,0,0,0,0.0029,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0074748,Harpeth Valley Utility District,Harpeth Valley Utility District STP,Suspended Growth,Oxidation Ditch,Y,2021,10,4.59,5.41,5.34,5.9,5.87,5.88,"Nitrogen, Total (as N)",Monitor,Monthly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,130151,7.93,69813,4.31,67909,3.79,61526,3.45,64615,3.62
TN0074748,Harpeth Valley Utility District,Harpeth Valley Utility District STP,Suspended Growth,Oxidation Ditch,Y,2021,10,4.59,5.41,5.34,5.9,5.87,5.88,"Phosphorous, Total (as P)",Monitor,Monthly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,17907,1.09,17394,1.07,24502,1.37,19528,1.10,17982,1.01
TN0075868,City of Spring Hill,Spring Hill STP,Suspended Growth,Oxidation Ditch,N,N/A,5,3.5,3.16,3.62,3.86,3.95,4,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,51750,Not Limited,Not Limited,24131,2.52,30009,2.73,22173,1.89,53625,4.47,66197,5.45
TN0075868,City of Spring Hill,Spring Hill STP,Suspended Growth,Oxidation Ditch,N,N/A,5,3.5,3.16,3.62,3.86,3.95,4,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,21309,Not Limited,Not Limited,2920,0.30,4008,0.36,2533,0.22,7833,0.65,14369,1.18
TN0075876,Jackson Energy Authority (JEA),Middle Fork STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,8,3.13,2.27,2.19,1.83,2.02,1.82,"Nitrogen, Total (as N)",Limit,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,194822,Not Limited,Not Limited,46479,6.75,55757,8.39,42895,7.72,60467,9.86,54721,9.91
TN0075876,Jackson Energy Authority (JEA),Middle Fork STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,8,3.13,2.27,2.19,1.83,2.02,1.82,"Phosphorous, Total (as P)",Limit,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,50315,Not Limited,Not Limited,16225,2.35,16842,2.53,10618,1.91,8270,1.35,7665,1.39
TN0076007,City of Elkton,Elkton STP,Attached Growth,Recirculating Media Filter,N,N/A,0.008,0.0036,0.01,0.01,0.01,0.0034,0.0026,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0076007,City of Elkton,Elkton STP,Attached Growth,Recirculating Media Filter,N,N/A,0.008,0.0036,0.01,0.01,0.01,0.0034,0.0026,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0077691,City of Spencer,Spencer STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.25,0.08,0.089,0.15,0.16,0.083,0.084,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,429,1.68
TN0077691,City of Spencer,Spencer STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.25,0.08,0.089,0.15,0.16,0.083,0.084,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,549,2.15
TN0077836,Town of Oakland,Oakland Wastewater Treatment Plant,Suspended Growth,Sequencing Batch Reactor,N,N/A,3,0.77,0.87,0.91,0.99,0.97,1.02,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,6930,2.62,8679,3.14,15210,5.06,9655,3.28,4921,1.59
TN0077836,Town of Oakland,Oakland Wastewater Treatment Plant,Suspended Growth,Sequencing Batch Reactor,N,N/A,3,0.77,0.87,0.91,0.99,0.97,1.02,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,728,0.28,4528,1.64,3031,1.01,2083,0.71,1443,0.47
TN0078042,Benton-Decatur Special Sewer District,Benton-Decatur STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.1,0.04,0.047,0.051,0.057,0.053,0.057,"Nitrogen, Total (as N) ",Monitor,Quarterly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1050,7.36,2103,13.59,3075,17.77,2121,13.18,2691,15.55
TN0078042,Benton-Decatur Special Sewer District,Benton-Decatur STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.1,0.04,0.047,0.051,0.057,0.053,0.057,"Phosphorous, Total (as P)",Monitor,Quarterly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,259,1.82,481,3.11,407,2.35,334,2.08,516,2.98
TN0078051,City of Oak Ridge,Rarity Ridge WWTP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.6,0.11,0.21,0.13,0.097,0.14,0.14,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0078051,City of Oak Ridge,Rarity Ridge WWTP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.6,0.11,0.21,0.13,0.097,0.14,0.14,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0078131,"Harbor Crest Homeowner's Association, Inc. d/b/a Harbor Crest Condominium Association",,Attached Growth,Recirculating Media Filter,N,N/A,0.021,0.038,Not Recorded,0.038,0.038,0.038,0.038,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0078131,"Harbor Crest Homeowner's Association, Inc. d/b/a Harbor Crest Condominium Association",,Attached Growth,Recirculating Media Filter,N,N/A,0.021,0.038,Not Recorded,0.038,0.038,0.038,0.038,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0078255,City of Lakeland,Scotts Creek Wastewater Treatment Plant (Lakeland STP),Suspended Growth,Sequencing Batch Reactor,N,N/A,4.5,0.59,0.62,0.62,0.61,0.63,0.64,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,13946,Not Limited,Not Limited,6172,3.28,5540,2.94,3014,1.63,445116,232.77,137673,70.87
TN0078255,City of Lakeland,Scotts Creek Wastewater Treatment Plant (Lakeland STP),Suspended Growth,Sequencing Batch Reactor,N,N/A,4.5,0.59,0.62,0.62,0.61,0.63,0.64,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,11498,Not Limited,Not Limited,4419,2.35,3879,2.06,2993,1.62,243621,127.40,1033461,531.99
TN0078271,Trenton Light and Water,Trenton WWTP,Suspended Growth,Sequencing Batch Reactor,N,N/A,1.6,0.74,1.04,0.94,0.82,0.83,0.84,"Nitrogen, Total (as N)",Monitor,Quarterly,Grab,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1233,0.49,1343,0.53
TN0078271,Trenton Light and Water,Trenton WWTP,Suspended Growth,Sequencing Batch Reactor,N,N/A,1.6,0.74,1.04,0.94,0.82,0.83,0.84,"Phosphorous, Total (as P)",Monitor,Quarterly,Grab,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1279,0.51,994,0.39
TN0078603,Town of Arlington,Arlington WWTP (11150 Highway 70),Suspended Growth,Sequencing Batch Reactor,N,N/A,2.5,1.23,1.3,1.42,1.39,1.32,1.42,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,2562,0.65,3001,0.70,47470,11.25,17068,4.26,20976,4.87
TN0078603,Town of Arlington,Arlington WWTP (11150 Highway 70),Suspended Growth,Sequencing Batch Reactor,N,N/A,2.5,1.23,1.3,1.42,1.39,1.32,1.42,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1077,0.27,1728,0.40,9200,2.18,10070,2.51,3016,0.70
TN0078841,Town of Collierville,Collierville Northwest STP,Suspended Growth,Oxidation Ditch,N,N/A,6,2.48,2.96,2.97,3.07,3.12,3,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,39107,4.35,17883,1.98,71771,7.70,35963,3.80,138035,15.16
TN0078841,Town of Collierville,Collierville Northwest STP,Suspended Growth,Oxidation Ditch,N,N/A,6,2.48,2.96,2.97,3.07,3.12,3,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,21753,2.42,14462,1.60,25938,2.78,16179,1.71,23710,2.60
TN0078905,Hallsdale Powell Utility District,Hallsdale Powell Utility District STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,9.7,8.91,9.21,9.91,9.87,9.57,6.23,"Nitrogen, Total (as N)",Monitor,Weekly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,117380,4.20,190411,6.33,163544,5.46,146116,5.03,105922,5.60
TN0078905,Hallsdale Powell Utility District,Hallsdale Powell Utility District STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,9.7,8.91,9.21,9.91,9.87,9.57,6.23,"Phosphorous, Total (as P)",Monitor,Weekly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,41555,1.49,50137,1.67,43916,1.47,46424,1.60,44517,2.35
TN0080021,Lafollette Utilities Board,Lafollette Utilities Board Wastewater Treatment Plant,Suspended Growth,Oxidation Ditch,Y,2016,1.87,1.12,1.08,0.99,0.93,0.94,0.75,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,125,Not Limited,Not Limited,8,Report,Not Limited,Not Limited,Not Limited,Not Limited,7105,2.17,7915,2.63,6576,2.33,9106,3.19,7999,3.51
TN0080021,Lafollette Utilities Board,Lafollette Utilities Board Wastewater Treatment Plant,Suspended Growth,Oxidation Ditch,Y,2016,1.87,1.12,1.08,0.99,0.93,0.94,0.75,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,31,Not Limited,Not Limited,2,Report,Not Limited,Not Limited,Not Limited,Not Limited,4543,1.39,3443,1.15,2518,0.89,2454,0.86,3019,1.33
TN0080721,West Knox Utility District (WKUD),Melton Hill POTW,Both,Aeration Basin Conventional Extended Air,N,N/A,10,4.15,0,4.3,Not Recorded,3.82,3.81,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,23502,1.80,25442,Not Recorded,23706,2.04,27845,2.41
TN0080721,West Knox Utility District (WKUD),Melton Hill POTW,Both,Trickling Filter ,N,N/A,10,4.15,0,4.3,Not Recorded,3.82,3.81,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,9881,0.76,10465,Not Recorded,11810,1.02,10671,0.92
TN0080764,City of Piperton,Piperton satellite collection system,Suspended Growth,Sequencing Batch Reactor,N,N/A,3,3,0,0,0,0,0,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,45662,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0080764,City of Piperton,Piperton satellite collection system,Suspended Growth,Sequencing Batch Reactor,N,N/A,3,3,0,0,0,0,0,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,9132,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0080985,Town of Monteagle,Monteagle Sewer Treatment Plant #3,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.5,0.4,0.17,0.18,0.12,0.16,0.21,"Nitrogen, Total (as N)",Limit,Semiannual/Monthly,Calculated,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,7610,Not Limited,Not Limited,1910,3.70,3317,6.07,1991,5.47,3994,8.22,Not Recorded,Not Recorded
TN0080985,Town of Monteagle,Monteagle Sewer Treatment Plant #3,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.5,0.4,0.17,0.18,0.12,0.16,0.21,"Phosphorous, Total (as P)",Limit,Semiannual/Monthly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,1522,Not Limited,Not Limited,988,1.91,1418,2.60,1089,2.99,1722,3.55,Not Recorded,Not Recorded
TN0081175,Town of Jonesborough,Jonesborough STP,Suspended Growth,Oxidation Ditch,N,N/A,1,0.52,1.04,1.01,0.82,0.78,0.8,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,29284,9.28,27419,8.94,29656,11.91,25566,10.80,22221,9.15
TN0081175,Town of Jonesborough,Jonesborough STP,Suspended Growth,Oxidation Ditch,N,N/A,1,0.52,1.04,1.01,0.82,0.78,0.8,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,3112,0.99,5386,1.76,7777,3.12,5183,2.19,4793,1.97
TN0081574,The Cheatham County Water and Wastewater Authority,Industrial Park POTW,Attached Growth,Moving Bed Bioreactor,N,N/A,0.1,0.019,0.033,0.03,0.028,0.026,0.032,"Nitrogen, Total (as N)",Monitor,Annually,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,12.4,0.15,27.6,0.35,23.4,0.24
TN0081574,The Cheatham County Water and Wastewater Authority,Industrial Park POTW,Attached Growth,Moving Bed Bioreactor,N,N/A,0.1,0.019,0.033,0.03,0.028,0.026,0.032,"Phosphorous, Total (as P)",Monitor,Annually,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,24.8,0.29,25.8,0.33,45,0.46
TN0081710,Water & Wastewater Authority of Wilson County,Logue Road STP,Attached Growth,Recirculating Media Filter,N,N/A,0.33,Not Recorded,,Not Recorded,Not Recorded,Not Recorded,,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0081710,Water & Wastewater Authority of Wilson County,Logue Road STP,Attached Growth,Recirculating Media Filter,N,N/A,0.33,Not Recorded,,Not Recorded,Not Recorded,Not Recorded,,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0081906,Megasite Authority of West Tennessee,Memphis Regional Megasite WWTP,Suspended Growth,Sequencing Batch Reactor,N,N/A,3.5,3.5,0,0,0,0,0,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0081906,Megasite Authority of West Tennessee,Memphis Regional Megasite WWTP,Suspended Growth,Sequencing Batch Reactor,N,N/A,3.5,3.5,0,0,0,0,0,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0082252,Town of Ashland City,New STP located at 269 Tennessee Waltz Parkway,Suspended Growth,Sequencing Batch Reactor,N,N/A,2,0,Not Recorded,0,0,0,Not Recorded,"Nitrogen, Total (as N)",Limit,Quarterly,Grab,Not Limited,Reoprt,Not Limited,Not Limited,Report,Not Limited,48706,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0082252,Town of Ashland City,New STP located at 269 Tennessee Waltz Parkway,Suspended Growth,Sequencing Batch Reactor,N,N/A,2,0,Not Recorded,0,0,0,Not Recorded,"Phosphorous, Total (as P)",Limit,Quarterly,Grab,Not Limited,Reoprt,Not Limited,Not Limited,Report,Not Limited,6088,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0026590,Town of Whiteville,Whiteville STP,Suspended Growth,Oxidation Ditch,N,N/A,1,0.65,0.67,0.6,0.6,0.7,0.66,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,29172,14.34,15397,8.45,27513,15.11,20203,9.51,13411,6.69
TN0026590,Town of Whiteville,Whiteville STP,Suspended Growth,Oxidation Ditch,N,N/A,1,0.65,0.67,0.6,0.6,0.7,0.66,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,5388,2.65,6249,3.43,3613,1.98,2916,1.37,2319,1.16
TN0062367,Brownsville Energy Authority,Brownsville Wastewater Treatment-South Plant,Attached Growth,Trickling Filter ,N,N/A,2.03,1.47,0.72,0.75,0.68,0.65,0.63,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,5537,2.53,5422,2.38,6070,2.94,7028,3.56,3906,2.04
TN0062367,Brownsville Energy Authority,Brownsville Wastewater Treatment-South Plant,Attached Growth,Trickling Filter ,N,N/A,2.03,1.47,0.72,0.75,0.68,0.65,0.63,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1430,0.65,1207,0.53,1157,0.56,1292,0.65,1289,0.67
TN0064670,Town of Chapel Hill,Chapel Hill STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.33,0.16,0.086,0.12,0.28,0.12,0.097,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,2474,9.48,231,0.63,566,0.67,996,2.73,2219,7.54
TN0064670,Town of Chapel Hill,Chapel Hill STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.33,0.16,0.086,0.12,0.28,0.12,0.097,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,798,3.06,252,0.69,232,0.27,419,1.15,593,2.01
